Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Веб-сайт,Twitter,ВКонтакте,WhatsApp 1,WhatsApp 2,Viber,Telegram,YouTube,Широта,Долгота,2GIS URL
HookahPlace Botanica,центр паровых коктейлей,Центры паровых коктейлей,"улица Дерендяева, 72",2 этаж,610017,,Ленинский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 11:00-01:00; Вт: 11:00-01:00; Ср: 11:00-01:00; Чт: 11:00-01:00; Пт: 11:00-03:00; Сб: 12:00-03:00; Вс: 12:00-01:00,+03:00,4.5,41,89128267200,88332467200,,,https://vk.com/hp_botanica,,,,,,58.596049,49.662738,https://2gis.com/firm/70000001060037868
Мята Lounge,,Центры паровых коктейлей,"улица Ленина, 88а",2 этаж,610002,Исторический центр,Первомайский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 12:00-02:00; Вт: 12:00-02:00; Ср: 12:00-02:00; Чт: 12:00-02:00; Пт: 12:00-03:00; Сб: 12:00-03:00; Вс: 12:00-02:00,+03:00,2.9,43,89229050549,88332784849,http://kirov.myataofficial.com,,,,,,,,58.600791,49.681775,https://2gis.com/firm/70000001044273258
Двушка,,Центры паровых коктейлей,"Спасская улица, 14",2 этаж,610020,Исторический центр,Первомайский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 11:00-02:00; Вт: 11:00-02:00; Ср: 11:00-02:00; Чт: 11:00-02:00; Пт: 11:00-03:00; Сб: 11:00-03:00; Вс: 11:00-02:00,+03:00,5.0,6,88332442422,,,,https://vk.com/dvushka_kirov,,,,,,58.601913,49.676297,https://2gis.com/firm/70000001067046562
Les,центр паровых коктейлей,Центры паровых коктейлей,"улица Воровского, 71",4 этаж,610027,,Ленинский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 12:00-01:00; Вт: 12:00-01:00; Ср: 12:00-01:00; Чт: 12:00-01:00; Пт: 12:00-03:00; Сб: 12:00-03:00; Вс: 12:00-01:00,+03:00,4.6,21,88332411222,,,,https://vk.com/les_auu,,,,,,58.594368,49.663474,https://2gis.com/firm/70000001023339491
HookahPlace Kirov,,Центры паровых коктейлей; Антикафе,"улица Карла Маркса, 75",1 этаж,610017,,Ленинский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 12:00-02:00; Вт: 12:00-02:00; Ср: 12:00-02:00; Чт: 12:00-02:00; Пт: 12:00-03:00; Сб: 12:00-03:00; Вс: 12:00-02:00,+03:00,5.0,8,88332412500,,http://taplink.cc/hookahplace_kirov,,https://vk.com/hookahplace_kirov,,,,https://t.me/hpkirov,,58.60119,49.667967,https://2gis.com/firm/70000001054789699
Les,центр паровых коктейлей,Центры паровых коктейлей,"улица Ломоносова, 22",цокольный этаж,610033,,Октябрьский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 14:00-01:00; Вт: 14:00-01:00; Ср: 14:00-01:00; Чт: 14:00-01:00; Пт: 14:00-03:00; Сб: 14:00-03:00; Вс: 14:00-01:00,+03:00,4.4,11,88332411333,,,,https://vk.com/les_auu,,,,,,58.603133,49.614907,https://2gis.com/firm/70000001046889814
HookahPlace,центр паровых коктейлей,Центры паровых коктейлей,"улица Герцена, 88/1",1 этаж,610046,,Ленинский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 11:00-02:00; Вт: 11:00-02:00; Ср: 11:00-02:00; Чт: 11:00-02:00; Пт: 11:00-03:00; Сб: 11:00-03:00; Вс: 11:00-02:00,+03:00,4.6,19,88332439343,89823839343,,,https://vk.com/hpvyatka,,,,,,58.598943,49.645126,https://2gis.com/firm/70000001032580219
Покурим,центр паровых коктейлей,Центры паровых коктейлей,"Московская улица, 12",цокольный этаж,610020,Исторический центр,Первомайский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 12:00-01:00; Вт: 12:00-01:00; Ср: 12:00-01:00; Чт: 12:00-01:00; Пт: 12:00-03:00; Сб: 12:00-03:00; Вс: 12:00-01:00 (до последнего гостя: пт-вс),+03:00,2.9,18,89635538885,,,,https://vk.com/pokurim_43,,,,,,58.603524,49.676955,https://2gis.com/firm/70000001021769266
Broadway,центр паровых коктейлей,Центры паровых коктейлей,"улица Пугачёва, 9",цокольный этаж,610014,Дружба м-н,Ленинский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 12:00-01:00; Вт: 12:00-01:00; Ср: 12:00-01:00; Чт: 12:00-01:00; Пт: 12:00-02:00; Сб: 12:00-02:00; Вс: 12:00-01:00,+03:00,4.6,44,89127214509,88332440322,,,https://vk.com/broadway43,,,,,,58.582045,49.625305,https://2gis.com/firm/70000001025365808
Инь Ян Lounge Bar,,Центры паровых коктейлей,"улица Андрея Упита, 11",1 этаж,610050,Красная горка м-н,Октябрьский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 16:00-03:00; Вт: 16:00-03:00; Ср: 16:00-03:00; Чт: 16:00-03:00; Пт: 16:00-03:00; Сб: 16:00-03:00; Вс: 16:00-03:00 (до последнего гостя: пн-вс),+03:00,4.2,14,89123310121,,,,,,,,,,58.60467,49.590285,https://2gis.com/firm/70000001058723996
Broskiy lounge bar,,Центры паровых коктейлей,"Преображенская улица, 97",1 этаж,610046,,Октябрьский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 12:00-01:00; Вт: 12:00-01:00; Ср: 12:00-01:00; Чт: 12:00-01:00; Пт: 12:00-02:00; Сб: 12:00-02:00; Вс: 12:00-01:00,+03:00,4.6,19,89823870020,,,,https://vk.com/broskiylounge,https://wa.me/79823870020,,,https://t.me/+79823870020,,58.605223,49.653097,https://2gis.com/firm/70000001051833520
Smoking Club,,Центры паровых коктейлей,"улица Горького, 7",цокольный этаж,610017,,Ленинский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 14:00-02:00; Вт: 14:00-02:00; Ср: 14:00-02:00; Чт: 14:00-02:00; Пт: 14:00-02:00; Сб: 14:00-02:00; Вс: 14:00-02:00,+03:00,4.7,47,88332420012,89229820012,,,https://vk.com/smoking__club,,,,,,58.598083,49.650145,https://2gis.com/firm/70000001025549048
Blizart Game Café,,Центры паровых коктейлей,"Московская улица, 4",цокольный этаж,610020,Исторический центр,Первомайский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 17:00-24:00; Вт: 17:00-24:00; Ср: 17:00-24:00; Чт: 17:00-24:00; Пт: 17:00-02:00; Сб: 17:00-02:00; Вс: 17:00-24:00,+03:00,4.8,10,88332265248,89005265248,,,https://vk.com/blizart_kirov,,,,,,58.60317,49.682753,https://2gis.com/firm/70000001021036598
Lime,центр паровых коктейлей,Центры паровых коктейлей,"Московская улица, 110 к1",цокольный этаж,610033,Юго-Запад м-н,Ленинский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 14:00-01:00; Вт: 14:00-01:00; Ср: 14:00-01:00; Чт: 14:00-01:00; Пт: 14:00-01:00; Сб: 14:00-01:00; Вс: 14:00-01:00,+03:00,5.0,58,88332265857,,http://vk.link/limekirov,,https://vk.com/limekirov,,,,https://t.me/limekirov,https://youtube.com/channel/UCUyhMlRHnziQe4fYe-zFnrw,58.602111,49.627219,https://2gis.com/firm/70000001023418454
Закрытый клуб 13,центр паровых коктейлей,Центры паровых коктейлей,"улица Чапаева, 13",цокольный этаж,610035,Мининский м-н,Ленинский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 12:00-23:00; Вт: 12:00-23:00; Ср: 12:00-23:00; Чт: 12:00-23:00; Пт: 12:00-23:00; Сб: 12:00-23:00; Вс: 12:00-23:00,+03:00,4.1,15,88332777713,,,,,,,,,,58.587929,49.643054,https://2gis.com/firm/70000001021770573
Aviator,центр паровых коктейлей,Центры паровых коктейлей,"Преображенская улица, 29",2 этаж,610020,Исторический центр,Первомайский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 12:00-01:00; Вт: 12:00-01:00; Ср: 12:00-01:00; Чт: 12:00-01:00; Пт: 14:00-02:00; Сб: 14:00-02:00; Вс: 14:00-02:00,+03:00,3.8,5,88332434455,,,,,,,,,,58.605602,49.674961,https://2gis.com/firm/70000001051454032
Runa lounge bar,,Центры паровых коктейлей,"Пролетарская улица, 14",вход с ул. Пролетарская,610002,Исторический центр,Первомайский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-01:00; Сб: 12:00-01:00; Вс: 12:00-24:00,+03:00,4.9,40,89128265885,89615663123,,,https://vk.com/runa_lounge_kirov,https://wa.me/79615663123,,,https://t.me/runa_lounge_kirov,,58.589535,49.684569,https://2gis.com/firm/70000001037898752
Сафира,центр паровых коктейлей,Центры паровых коктейлей,"Московская улица, 4",1 этаж,610020,Исторический центр,Первомайский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 18:00-03:00; Вт: 18:00-03:00; Ср: 18:00-03:00; Чт: 18:00-03:00; Пт: 18:00-08:00; Сб: 18:00-08:00; Вс: 18:00-03:00,+03:00,4.4,32,88332752343,89229752343,,,https://vk.com/safira43,https://wa.me/79229752343,,viber://chat/?number=79229752343,https://t.me/+79091337393,,58.60312,49.682757,https://2gis.com/firm/70000001021227254
Cactus lounge bar 2.0,,Центры паровых коктейлей,"Октябрьский проспект, 49",1 этаж; правое крыло,610006,,Октябрьский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-02:00; Сб: 14:00-02:00; Вс: 14:00-24:00,+03:00,4.4,7,88332424338,,,,https://vk.com/cactusloungebarkirov,,,,,,58.628254,49.641338,https://2gis.com/firm/70000001041082670
Халиф,центр паровых коктейлей,Центры паровых коктейлей,"улица Горбачёва, 24",2 этаж,610002,Исторический центр,Первомайский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 11:00-24:00; Вт: 11:00-24:00; Ср: 11:00-24:00; Чт: 11:00-24:00; Пт: 11:00-01:00; Сб: 11:00-01:00; Вс: 11:00-24:00,+03:00,5.0,2,89823830223,,,,,,,,,,58.599236,49.681056,https://2gis.com/firm/70000001054277394
