Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail,Веб-сайт 1,Веб-сайт 2,Twitter,ВКонтакте,WhatsApp 1,WhatsApp 2,Viber 1,Viber 2,Telegram,YouTube,Широта,Долгота,2GIS URL
CHILLim Club,,Бары; Кафе; Ночные клубы,"улица Ленина, 82",,610020,Исторический центр,Первомайский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 12:00-03:00; Вт: 12:00-03:00; Ср: 12:00-03:00; Чт: 12:00-03:00; Пт: 12:00-08:00; Сб: 12:00-08:00; Вс: 12:00-03:00,+03:00,4.3,43,89127349004,,,chillim.kirov@gmail.com,http://chillimclub.ru,,,https://vk.com/chillim,,,,,,,58.602691,49.681369,https://2gis.com/firm/70000001007324403
Тот самый бар,,Бары; Кафе; Пиццерии,"улица Свободы, 135в",,610002,Исторический центр,Первомайский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 11:00-24:00; Вт: 11:00-24:00; Ср: 11:00-24:00; Чт: 11:00-24:00; Пт: 11:00-02:00; Сб: 11:00-02:00; Вс: 11:00-24:00,+03:00,4.1,12,89128270434,,,feedback.vyatichbar@gmail.com,http://вятичбар.рф,,,https://vk.com/totsamyibar43,https://wa.me/79128260042,,viber://chat/?number=79128260042,,,,58.589396,49.677361,https://2gis.com/firm/70000001062980251
Сушилка,удобные кафе,Доставка готовых блюд; Кафе; Суши-бары; Пиццерии,"улица Воровского, 114",6 этаж,610045,Юго-Запад м-н,Ленинский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00,+03:00,4.8,188,88332444943,,,,http://sushi-pizzi.ru/?utm_source=2gis&utm_medium=link,,,https://vk.com/sushipizzi,,,,,,,58.596773,49.591028,https://2gis.com/firm/70000001017179875
PELLI-PILLI CLUB,кафе-караоке,Караоке-залы; Кафе; Бары,"Профсоюзная улица, 44",1 этаж,610004,Исторический центр,Первомайский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 18:00-04:00; Вт: 18:00-04:00; Ср: 18:00-04:00; Чт: 18:00-04:00; Пт: 18:00-05:00; Сб: 18:00-05:00; Вс: 18:00-04:00,+03:00,4.1,24,88332383878,89123641418,,,,,,https://vk.com/pellipilliclub,,,,,,,58.614907,49.674271,https://2gis.com/firm/70000001017440620
Десертомания,кондитерская,Кофейни; Кондитерские изделия; Кафе-кондитерские,"улица Ленина, 105а","магазин-сервис iMaster, вход во двор за ворота",610002,Исторический центр,Первомайский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 08:00-20:00; Вс: 08:00-20:00,+03:00,,,89229664584,,,,,,,https://vk.com/desert_43,https://wa.me/79229664584,,viber://chat/?number=79229664584,,https://t.me/+79229664584,,58.593059,49.68077,https://2gis.com/firm/70000001068428421
SHAU,кафе,Быстрое питание; Доставка готовых блюд,"Преображенская улица, 25",1 этаж,610020,Исторический центр,Первомайский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+03:00,4.7,88,88332711744,,,shau_kirov@mail.ru,http://шау.рф,,,https://vk.com/shau_kirov,,,,,,,58.605613,49.676216,https://2gis.com/firm/70000001060149183
Four,ресторан,Рестораны; Кейтеринг; Банкетные залы; Конференц-залы / Переговорные комнаты; Доставка готовых блюд,"Октябрьский проспект, 145 к1",1 этаж,610017,,Ленинский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 06:00-23:00; Вт: 06:00-23:00; Ср: 06:00-23:00; Чт: 06:00-23:00; Пт: 06:00-23:00; Сб: 06:00-23:00; Вс: 06:00-23:00,+03:00,4.3,21,88332204191,,,four.kirov@4ehotels.com,http://four-kirov.ru,,,https://vk.com/four.kirov,,,,,https://t.me/four_kirov,https://youtube.com/FOURELEMENTSLIFE,58.590339,49.657452,https://2gis.com/firm/70000001007379384
Дача,городское кафе,Кафе,"Динамовский проезд, 4",1 этаж,610020,Исторический центр,Первомайский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-23:00; Сб: 11:00-23:00; Вс: 11:00-23:00,+03:00,4.7,143,88332440039,,,,,,,https://vk.com/club160612141,https://wa.me/79123600941,,viber://chat/?number=79123600941,,https://t.me/+79123600941,,58.60658,49.687225,https://2gis.com/firm/70000001031069139
Агата,кафе,Кафе,"улица Маклина, 56",1 этаж,610035,,Ленинский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+03:00,4.1,44,88332431414,,,,http://кафеагата.рф,,,https://vk.com/cafe_agata,,,,,,,58.594897,49.642326,https://2gis.com/firm/8163302605586955
Самое Популярное Кафе Центр,,Кафе; Бары; Доставка готовых блюд; Караоке-залы,"улица Ленина, 73",1 этаж,610020,Исторический центр,Первомайский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 12:00-03:00; Вт: 12:00-03:00; Ср: 12:00-03:00; Чт: 12:00-03:00; Пт: 12:00-08:00; Сб: 12:00-08:00; Вс: 12:00-03:00,+03:00,4.5,164,88007000025 (единая справочная: круглосуточно),,,,http://spkcafe.ru,,,https://vk.com/spkkirov,,,,,,https://youtube.com/channel/UCvfKTl5Nj5Wa668LlcKVW7Q,58.602849,49.680775,https://2gis.com/firm/8163302605591954
Offshore Drinkeria & Bistro,бар,Бары; Кафе,"Спасская улица, 6",1 этаж,610020,Исторический центр,Первомайский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 08:00-01:00; Вт: 08:00-01:00; Ср: 08:00-01:00; Чт: 08:00-01:00; Пт: 08:00-03:00; Сб: 08:00-03:00; Вс: 08:00-01:00,+03:00,4.7,80,89229950199,,,,,,,https://vk.com/offshore.drinkeria,https://wa.me/79229950199,,,,,,58.602064,49.681403,https://2gis.com/firm/70000001058651689
Бочка,кафе,Кафе,"Октябрьский проспект, 110",цокольный этаж,610001,,Ленинский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-23:00; Сб: 11:00-23:00; Вс: 11:00-23:00,+03:00,3.9,39,88332541906,,,,http://restorankirov.ru/place/bocka,http://restorankirov.ru,,https://vk.com/club24008190,,,,,,,58.586437,49.658928,https://2gis.com/firm/8163302605587588
Мельница,кафе,Кафе,"Октябрьский проспект, 125",цокольный этаж,610017,,Ленинский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 11:30-23:00; Вт: 11:30-23:00; Ср: 11:30-23:00; Чт: 11:30-23:00; Пт: 11:30-01:00; Сб: 11:30-01:00; Вс: 11:30-23:00,+03:00,3.4,27,88332405009,88332405101,,,http://restorankirov.ru/place/melnica,,,https://vk.com/cafe_melnitza,,,,,,,58.599387,49.656825,https://2gis.com/firm/8163302605590483
Почта Крафт,бар,Бары; Кафе,"Преображенская улица, 35","1, 2 этаж",610020,Исторический центр,Первомайский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 15:00-01:00; Вт: 15:00-01:00; Ср: 15:00-01:00; Чт: 15:00-01:00; Пт: 15:00-03:00; Сб: 12:00-03:00; Вс: 12:00-01:00,+03:00,3.7,37,89615650579,,,,http://bladbaher.ru/pochta-kraft,,,,,,,,,,58.605493,49.673026,https://2gis.com/firm/70000001021137051
Сулугуни,кафе грузинской кухни,Кафе; Доставка готовых блюд,"улица Ленина, 71а",1 этаж,610020,Исторический центр,Первомайский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 10:55-23:00; Вт: 10:55-23:00; Ср: 10:55-23:00; Чт: 10:55-23:00; Пт: 10:55-24:00; Сб: 10:55-24:00; Вс: 10:55-23:00 (служба доставки: пн-вс 11:00-22:00),+03:00,4.7,242,88332464530,,,,http://sulugunikirov.ru,,,https://vk.com/sulugunikirov,,,,,,,58.603307,49.680738,https://2gis.com/firm/70000001027621967
Сулугуни,кафе грузинской кухни,Кафе; Доставка готовых блюд,"улица Екатерины Кочкиной, 3Б",2 этаж,610045,Юго-Запад м-н,Ленинский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 10:55-23:00; Вт: 10:55-23:00; Ср: 10:55-23:00; Чт: 10:55-23:00; Пт: 10:55-24:00; Сб: 10:55-24:00; Вс: 10:55-23:00 (служба доставки: пн-вс 11:00-22:00),+03:00,4.3,105,88332440070,,,,http://sulugunikirov.ru,,,https://vk.com/sulugunikirov,,,,,,,58.595916,49.602158,https://2gis.com/firm/70000001046222472
Трифон,гастропаб,Бары; Кафе,"Московская улица, 33а",1 этаж,610020,Исторический центр,Первомайский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 12:00-01:00; Вт: 12:00-01:00; Ср: 12:00-01:00; Чт: 12:00-01:00; Пт: 12:00-03:00; Сб: 12:00-03:00; Вс: 12:00-01:00,+03:00,4.4,37,88332220010,,,,http://trifonbar.ru,,,https://vk.com/trifonbar,,,,,,,58.603719,49.670795,https://2gis.com/firm/70000001043988868
Академия Хинкали на Казанской,,Кафе; Доставка готовых блюд,"Казанская улица, 77Б",1 этаж,610020,Исторический центр,Первомайский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-24:00; Сб: 09:00-24:00; Вс: 09:00-23:00,+03:00,2.9,59,88332454588,,,,http://akk43.ru,,,,,,,,,,58.603008,49.683893,https://2gis.com/firm/70000001037593401
Чайхана 84/46,,Рестораны; Кафе; Бары; Доставка готовых блюд,"улица Карла Маркса, 84а",цокольный этаж,610017,Исторический центр,Первомайский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 11:00-24:00; Вт: 11:00-24:00; Ср: 11:00-24:00; Чт: 11:00-24:00; Пт: 11:00-01:00; Сб: 11:00-01:00; Вс: 11:00-24:00,+03:00,3.8,68,88332418446,,,,http://chayhana-kirov.ru,,,https://vk.com/chayhana_kirov,,,,,,,58.600078,49.668645,https://2gis.com/firm/70000001037822562
Сакварели,кафе,Кафе; Доставка готовых блюд,"улица Герцена, 88а",,610046,,Ленинский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 11:00-24:00; Вт: 11:00-24:00; Ср: 11:00-24:00; Чт: 11:00-24:00; Пт: 11:00-01:00; Сб: 11:00-01:00; Вс: 11:00-24:00,+03:00,4.5,76,88332220910,,,,,,,,,,,,,,58.599175,49.64412,https://2gis.com/firm/70000001006739141
Сыто-Пряно,винный бар,Бары; Кафе,"Спасская улица, 8",1 этаж,610002,Исторический центр,Первомайский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 08:30-23:00; Вт: 08:30-23:00; Ср: 08:30-23:00; Чт: 08:30-23:00; Пт: 08:30-24:00; Сб: 10:00-24:00; Вс: 10:00-23:00,+03:00,4.1,57,88332221223,,,,http://fulldrunk.ru,,,https://vk.com/full_drunk,,,,,,,58.602055,49.680427,https://2gis.com/firm/70000001039323576
Яйцо,кафе,Кафе,"улица Воровского, 10",1 этаж,610002,Исторический центр,Первомайский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 08:00-20:00; Вс: 08:00-20:00,+03:00,4.9,7,88332754324,,,,,,,https://vk.com/eggcafe43,,,,,,,58.593903,49.679244,https://2gis.com/firm/70000001066080631
CubbyBar,,Кафе; Бары; Рестораны,"Орловская улица, 13",,610002,Исторический центр,Первомайский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 12:00-01:00; Вт: 12:00-01:00; Ср: 12:00-01:00; Чт: 12:00-01:00; Пт: 12:00-02:00; Сб: 12:00-02:00; Вс: 12:00-01:00,+03:00,4.9,75,88332433500,89823833500,,,http://cubbybar.ru,,,https://vk.com/cubbybar,https://wa.me/79823833500,,viber://chat/?number=79823833500,,,,58.59641,49.685354,https://2gis.com/firm/70000001041805975
Вятка,гостиница,Гостиницы; Тренажёрные залы; Конференц-залы / Переговорные комнаты; Парикмахерские; Кафе,"Октябрьский проспект, 145",,610017,,Ленинский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00 (тренажерный зал: пн-вс 6:00-22:00),+03:00,4.6,130,88005504503,88332544503,88332546410,vyatkahotel@mail.ru,http://vyatkahotel.ru,,,https://vk.com/vyatkahotel,,,,,,,58.591096,49.657091,https://2gis.com/firm/8163302605627510
Шалом Берман,бистро,Кафе,"улица Горбачёва, 24",,610002,Исторический центр,Первомайский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 15:00-23:00; Вт: 15:00-23:00; Ср: 15:00-23:00; Чт: 15:00-24:00; Пт: 15:00-24:00; Сб: 15:00-24:00; Вс: 15:00-23:00,+03:00,4.1,9,89229408124,,,,,,,,,,,,,,58.599407,49.681033,https://2gis.com/firm/70000001067049537
Panorama,лаундж-бар,Бары; Банкетные залы; Кафе; Доставка готовых блюд,"Профсоюзная улица, 1",18 этаж,610004,,Первомайский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 12:00-01:00; Вт: 12:00-01:00; Ср: 12:00-01:00; Чт: 12:00-01:00; Пт: 12:00-01:00; Сб: 12:00-01:00; Вс: 12:00-01:00,+03:00,3.2,85,88332332020 (служба бронирования столов),89229062020,,,http://panoramakirov.ru,http://eventkirov.ru,,https://vk.com/panoramakirov,https://wa.me/79229062020,,viber://chat/?number=79229062020,,,,58.615846,49.684314,https://2gis.com/firm/70000001024629110
Самое Популярное Кафе Восток,,Кафе; Бары; Доставка готовых блюд; Банкетные залы,"улица Свободы, 11",1 этаж,610004,Исторический центр,Первомайский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 12:00-03:00; Вт: 12:00-03:00; Ср: 12:00-03:00; Чт: 12:00-03:00; Пт: 12:00-06:00; Сб: 12:00-06:00; Вс: 12:00-03:00,+03:00,3.7,65,88007000025 (единая справочная: круглосуточно),,,,http://spkcafe.ru,,,https://vk.com/spkkirov,,,,,https://t.me/spkkirov,https://youtube.com/channel/UCvfKTl5Nj5Wa668LlcKVW7Q,58.61466,49.675502,https://2gis.com/firm/8163302605592639
Пивной дворик,трактир,Рестораны; Кафе; Бары; Доставка готовых блюд,"Спасская улица, 41",1 этаж,610020,Исторический центр,Первомайский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 11:00-24:00; Вт: 11:00-24:00; Ср: 11:00-24:00; Чт: 11:00-24:00; Пт: 11:00-02:00; Сб: 11:00-02:00; Вс: 11:00-24:00,+03:00,4.0,79,88332647000,,,,http://pivnoydvorik.ru,,,https://vk.com/pivnoydvorik43,,,,,,,58.602126,49.673925,https://2gis.com/firm/8163302605591288
Колесо на Спасской,трактир,Кафе,"Спасская улица, 18",цокольный этаж,610020,Исторический центр,Первомайский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 11:30-23:00; Вт: 11:30-23:00; Ср: 11:30-23:00; Чт: 11:30-23:00; Пт: 11:30-24:00; Сб: 12:00-24:00; Вс: 12:00-23:00,+03:00,4.2,32,88332321203,,,,http://m-kyhnia.ru/koleso/spasskaya,,,,,,,,,,58.601929,49.67487,https://2gis.com/firm/8163302605590301
