Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,Веб-сайт,ВКонтакте,WhatsApp,Viber,Telegram,YouTube,Широта,Долгота,2GIS URL
Озеро Келейное,усадьба,Базы отдыха; Бани / Сауны; Банкетные залы; Спортивно-тактические клубы; Организация и проведение праздников,"территория Озеро Келейное, 16",,610029,,,Киров,Киров городской округ,Кировская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,5.0,2,88332451435,89091352898,89229951435,,https://vk.com/keleynoe43,,,,,58.646447,49.506371,https://2gis.com/firm/70000001036679440
Елки,база отдыха,Базы отдыха; Банкетные залы,"Антоновский переулок, 3",,610913,,,,Киров городской округ,Кировская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,5.0,2,88332448060,89127348060,,,https://vk.com/elki448060,,,,,58.57597,49.539009,https://2gis.com/firm/70000001021129595
Слобода,база отдыха,Базы отдыха,"Фабричная улица, 29",,610008,Слобода Луговые,Нововятский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.7,18,88332730116,89229930116,,,,https://wa.me/79229775908,viber://chat/?number=79229775908,,,58.548083,49.67519,https://2gis.com/firm/70000001028478481
Славная,база отдыха,Базы отдыха; Бани / Сауны; Банкетные залы; Лыжные базы / Горнолыжные комплексы; Прокат спортивного инвентаря / техники,"деревня Катковы, 1/1",,610912,,,,Киров городской округ,Кировская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,2.8,9,89539471547,,,http://travellers-lodge-597.business.site,https://vk.com/bo_slavnaya,,,,,58.566404,49.536835,https://2gis.com/firm/70000001034355974
Сосновый,парк семейного отдыха,Базы отдыха; Бани / Сауны; Аренда беседок,"Новая улица, 2а",,610914,,,,Киров городской округ,Кировская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.5,6,88332467312,88332262312,,,https://vk.com/baza312,,,,,58.64998,49.433283,https://2gis.com/firm/70000001021118953
Контраст,база отдыха,Базы отдыха; Аренда беседок; Бани / Сауны,"Лучистая улица, 1",,610912,,,,Киров городской округ,Кировская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,3.7,18,88332785466,,,,https://vk.com/kontrast43,,,,,58.548419,49.490215,https://2gis.com/firm/8163302605596363
В лес!,база отдыха,Базы отдыха,"Яблочная улица, 1",,610902,,,,Слободской район,Кировская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.2,7,89128263366,,,,https://vk.com/v_les_kirov,https://wa.me/79128263366,,,,58.650654,49.790621,https://2gis.com/firm/70000001053921396
Зелёная крыша,база отдыха,Базы отдыха; Бани / Сауны; Аренда беседок; Банкетные залы,"Царегородская улица, 11",,610912,,,,Киров городской округ,Кировская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,2.3,3,88332440002,,,http://relax-kirov.ru,,,,,,58.583032,49.515213,https://2gis.com/firm/8163302605596154
Рыжая Лиса,база отдыха,Базы отдыха,"Ягодная улица, 9",,610912,,,,Киров городской округ,Кировская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.4,12,88332746543,89531359543,,,https://vk.com/baza_lisa,https://wa.me/79127260900,viber://chat/?number=79127260900,,,58.581341,49.511273,https://2gis.com/firm/70000001041412498
Никулёнки,база отдыха,Базы отдыха; Бани / Сауны; Аренда беседок,"деревня Никулёнки, 18Б",,610926,,,,Киров городской округ,Кировская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,,,88332492173,89226612173,,,https://vk.com/nikulenki43,https://wa.me/79226612173,,,,58.530192,49.609555,https://2gis.com/firm/70000001041252395
Ленивец,спортивно-банный центр,Бани / Сауны; Базы отдыха,"дорога Порошино-Сидоровка, баня",,,,,Киров,Киров городской округ,Кировская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,,,88332472090,89128272090,,,https://vk.com/banya_lenivec_kirov,https://wa.me/79128272090,,,,58.582019,49.808958,https://2gis.com/firm/70000001035652288
Хабаровы,база отдыха,Базы отдыха,"деревня Хабаровы, 19а",,610029,,,,Киров городской округ,Кировская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,,,88332786045,89226686045,,,https://vk.com/club104010845,,,,,58.651057,49.566665,https://2gis.com/firm/70000001021366771
Дубровский,глэмпинг,Базы отдыха,"Боровицкая улица, 36",,610902,,,,Киров городской округ,Кировская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,,,89823839191 (менеджер),,,http://parkdubrovsky.ru/глэмпинг-киров/,,,,,,58.607081,49.809856,https://2gis.com/firm/70000001063198496
