Название,Категория,Кухня,Ценовой диапозон,Адрес,Режим работы,Телефон,Сайт,Фото,ID,lat,lon
"Жара, банный комплекс",Бани / Сауны,,Час 500 ₽,"улица Лепсе, 6","['00:00-24:00', '00:00-24:00', '00:00-24:00', '00:00-24:00', '00:00-24:00', '00:00-24:00', '00:00-24:00']",+7 (8332) 42-50-50,https://www.sauna-kirov.ru/,https://i6.photo.2gis.com/main/branch/58/70000001019465925/common,70000001019465925,58.623184,49.644862
"Малина, сауна",Бани / Сауны,,Час 500–1490 ₽,"улица Северное кольцо, 56а","['00:00-24:00', '00:00-24:00', '00:00-24:00', '00:00-24:00', '00:00-24:00', '00:00-24:00', '00:00-24:00']",+7 (8332) 74-60-60,http://sauna-malina43.ru/,https://i1.photo.2gis.com/main/branch/58/70000001035475811/common,70000001035475811,58.623495,49.652439
"Рай, сауна",Бани / Сауны,,Час 195 ₽,"Стахановская улица, 29 к1","['00:00-24:00', '00:00-24:00', '00:00-24:00', '00:00-24:00', '00:00-24:00', '00:00-24:00', '00:00-24:00']",+7 (8332) 73-02-09,https://мужские-сауны.рф/,https://i5.photo.2gis.com/main/branch/58/70000001028335340/common,70000001028335340,58.629689,49.625706
"Фараон, банный комплекс",Бани / Сауны,,Час 400 ₽,"Комсомольская улица, 60а к1","['00:00-24:00', '00:00-24:00', '00:00-24:00', '00:00-24:00', '00:00-24:00', '00:00-24:00', '00:00-24:00']",+7 (8332) 74-56-66,http://faraon-sauna.ru/,https://saunaibanya.ru/wp-content/uploads/2020/12/common-1784.jpeg,70000001006167899,58.573318,49.633302
"Фортуна, сауна",Бани / Сауны,,Час 490–990 ₽,"улица МОПРа, 102","['00:00-24:00', '00:00-24:00', '00:00-24:00', '00:00-24:00', '00:00-24:00', '00:00-24:00', '00:00-24:00']",+7 (8332) 77-77-91,http://fortuna43.ru/,https://i4.photo.2gis.com/main/branch/58/70000001021162593/common,70000001021162593,58.609714,49.661029
Текила,Бани / Сауны,,Час 600–1400 ₽,"Студенческий проезд, 18","['00:00-24:00', '00:00-24:00', '00:00-24:00', '00:00-24:00', '00:00-24:00', '00:00-24:00', '00:00-24:00']",+7 (953) 947-44-56,http://sauna-tekila.ru/,https://i5.photo.2gis.com/main/branch/58/8163302605753595/common,8163302605753595,58.603968,49.618879
"Клеопатра, сауна",Бани / Сауны,,Час 700–2000 ₽,"улица Чапаева, 67 к1","['00:00-24:00', '00:00-24:00', '00:00-24:00', '00:00-24:00', '00:00-24:00', '00:00-24:00', '00:00-24:00']",+7 (8332) 32-86-41,http://sauna-kleopatra.ru/,https://i4.photo.2gis.com/main/branch/58/70000001019470024/common,70000001019470024,58.580903,49.644427
"Gold, оздоровительный центр",Бани / Сауны,,,"Производственная улица, 45","['00:00-24:00', '00:00-24:00', '00:00-24:00', '00:00-24:00', '00:00-24:00', '00:00-24:00', '00:00-24:00']",+7 (8332) 45-77-45,https://gold-proizvodstvennaja-ulitsa.clients.site/,https://avatars.mds.yandex.net/get-altay/933207/2a00000161e15255509bddd0478b5a1cf4f9/XXL,70000001027203242,58.563185,49.608157
"SUKNO, банный клуб",Бани / Сауны,,Час 195 ₽,"Пристанская улица, 1 к1","['00:00-24:00', '00:00-24:00', '00:00-24:00', '00:00-24:00', '00:00-24:00', '00:00-24:00', '00:00-24:00']",+7 (8332) 38-38-90,https://sauna-sukno.ru/,https://avatars.mds.yandex.net/get-altay/2755030/2a0000017081e34e6117a26a455a92889f9a/XXXL,70000001056851725,58.608272,49.689373
"Посейдон, сауна",Бани / Сауны,,Час 1000 ₽,"Производственная улица, 29а","['00:00-24:00', '00:00-24:00', '00:00-24:00', '00:00-24:00', '00:00-24:00', '00:00-24:00', '00:00-24:00']",+7 (8332) 70-44-09,,https://i9.photo.2gis.com/main/branch/58/8163302605591384/common,8163302605591384,58.574823,49.607525
