Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail,Веб-сайт 1,Веб-сайт 2,ВКонтакте,WhatsApp,Viber,Telegram,YouTube,Широта,Долгота,2GIS URL
Жара,банный комплекс,Бани / Сауны,"улица Лепсе, 6",,610006,,Октябрьский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.8,118,88332206166,,,,http://www.sauna-kirov.ru,,https://vk.com/sauna_kirov_zhara,,,,,58.623184,49.644862,https://2gis.com/firm/70000001019465925
Фараон,банный комплекс,Бани / Сауны; Аренда беседок,"Комсомольская улица, 60а к1",,610014,Дружба м-н,Ленинский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.8,64,88332745666,88332222666,,,http://faraon-sauna.ru,,https://vk.com/faraonkirov,,,,https://youtube.com/channel/UChKzJ0li5vRF5UFahZ6PPEQ,58.573318,49.633302,https://2gis.com/firm/70000001006167899
Малина,сауна,Бани / Сауны,"улица Северное кольцо, 56а",2 этаж,610006,,Первомайский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.3,39,88332746060,,,,http://sauna-malina43.ru,,https://vk.com/kirov_sauna,,,,,58.623495,49.652439,https://2gis.com/firm/70000001035475811
Рай,сауна,Бани / Сауны,"Стахановская улица, 29 к1",,610016,ОЦМ м-н,Октябрьский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,5.0,143,88332758888,89539458888,,,http://мужские-сауны.рф,,https://vk.com/sauna_rai_kirov,,viber://chat/?number=79229930209,,,58.629689,49.625706,https://2gis.com/firm/70000001028335340
Текила,,Бани / Сауны,"Студенческий проезд, 18",,610033,,Октябрьский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.6,19,88332210850,88332774456,,,,,https://vk.com/sauna_tekila,,,,,58.603968,49.618879,https://2gis.com/firm/8163302605753595
Фортуна,сауна,Бани / Сауны,"улица МОПРа, 102",1 этаж,610005,,Октябрьский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.6,16,88332777791,,,,http://fortuna43.ru,,,,,,,58.609714,49.661029,https://2gis.com/firm/70000001021162593
Клеопатра,сауна,Бани / Сауны,"улица Чапаева, 67 к1",,610001,,Ленинский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.4,58,88332328641,,,kleopatrasauna43@yandex.ru,http://sauna-kleopatra.ru,,https://vk.com/kleopatra_sauna,https://wa.me/79642566666,viber://chat/?number=79642566666,https://t.me/+79642566666,,58.580903,49.644427,https://2gis.com/firm/70000001019470024
Gold,оздоровительный центр,Бани / Сауны,"Производственная улица, 45",1 этаж,610035,,Ленинский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,5.0,5,88332457745,,,gold_spa@mail.ru,http://gold-proizvodstvennaja-ulitsa.clients.site,,https://vk.com/saunagold,,,https://t.me/sauna_gold,,58.563185,49.608157,https://2gis.com/firm/70000001027203242
SUKNO,банный клуб,Бани / Сауны,"Пристанская улица, 1 к1","1, 2 этаж",610020,Исторический центр,Первомайский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.7,9,88332383890,89823883890,,,,,https://vk.com/sukno_kirov,https://wa.me/79823883890,viber://chat/?number=79823883890,,,58.608272,49.689373,https://2gis.com/firm/70000001056851725
Посейдон,сауна,Бани / Сауны,"Производственная улица, 29а",,610035,,Ленинский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.2,13,88332704409,,,,,,https://vk.com/poseidonkirov,,,,,58.574823,49.607525,https://2gis.com/firm/8163302605591384
