Название,Категория,Кухня,Ценовой диапозон,Адрес,Режим работы,Телефон,Сайт,Фото,ID,lat,lon
CHILLim Club,Бары,"Итальянская кухня, Японская кухня, Европейская кухня, ",Средний чек 500 ₽,"улица Ленина, 82","['12:00-03:00', '12:00-03:00', '12:00-03:00', '12:00-03:00', '12:00-08:00', '12:00-08:00', '12:00-03:00']",+7 (8332) 44-90-04,http://www.chillimclub.ru/,https://i6.photo.2gis.com/main/branch/58/70000001007324403/common,70000001007324403,58.602691,49.681369
Тот самый бар,Бары,,,"улица Свободы, 135в","['11:00-24:00', '11:00-24:00', '11:00-24:00', '11:00-24:00', '11:00-02:00', '11:00-02:00', '11:00-24:00']",+7 (912) 827-04-34,,https://i4.photo.2gis.com/main/branch/58/70000001062980251/common,70000001062980251,58.589396,49.677361
"SOLO Центральный, караоке-клуб",Караоке-залы,"Кавказская кухня, Русская кухня, Европейская кухня, ",Средний чек 500 ₽,"улица Карла Маркса, 81","['19:00-07:00', '19:00-07:00', '19:00-07:00', '19:00-07:00', '19:00-07:00', '19:00-07:00', '19:00-07:00']",+7 (8332) 21-00-05,http://karaokeclub-solo.ru/,https://i1.photo.2gis.com/main/branch/58/70000001024628842/common,70000001024628842,58.598953,49.66804
"PELLI-PILLI CLUB, кафе-караоке",Караоке-залы,"Русская кухня, Европейская кухня, ",Средний чек 800 ₽,"Профсоюзная улица, 44","['18:00-04:00', '18:00-04:00', '18:00-04:00', '18:00-04:00', '18:00-05:00', '18:00-05:00', '18:00-04:00']",+7 (912) 364-14-18,,https://i7.photo.2gis.com/main/branch/58/70000001017440620/common,70000001017440620,58.614907,49.674271
"Nobel, гастробар",Рестораны,"Европейская кухня, ",Средний чек 900 ₽,"улица Воровского, 43","['08:00-05:00', '08:00-05:00', '08:00-05:00', '08:00-05:00', '00:00-24:00', '00:00-24:00', '08:00-05:00']",+7 (8332) 22-01-07,https://www.nobel.bar/,https://i8.photo.2gis.com/main/branch/58/70000001036037552/common,70000001036037552,58.594455,49.667082
"Offshore Drinkeria & Bistro, бар",Бары,"Паназиатская кухня, ",,"Спасская улица, 6","['08:00-01:00', '08:00-01:00', '08:00-01:00', '08:00-01:00', '08:00-03:00', '08:00-03:00', '08:00-01:00']",+7 (922) 995-01-99,,https://i5.photo.2gis.com/main/branch/58/70000001058651689/common,70000001058651689,58.602064,49.681403
"The Engineer, гастробар-клуб",Рестораны,"Русская кухня, Европейская кухня, Авторская кухня, ",Средний чек 1300 ₽,"улица Романа Ердякова, 42","['12:00-23:00', '12:00-23:00', '12:00-23:00', '12:00-04:00', '12:00-04:00', '13:00-04:00', '13:00-04:00']",+7 (8332) 22-24-56,,https://i4.photo.2gis.com/main/branch/58/70000001032196235/common,70000001032196235,58.616772,49.635345
"Трифон, гастропаб",Бары,,,"Московская улица, 33а","['12:00-01:00', '12:00-01:00', '12:00-01:00', '12:00-01:00', '12:00-03:00', '12:00-03:00', '12:00-01:00']",+7 (8332) 22-00-10,https://trifonbar.ru/,https://i7.photo.2gis.com/main/branch/58/70000001043988868/common,70000001043988868,58.603719,49.670795
"Fabrika 3.0, ресторан-клуб",Рестораны,"Русская кухня, Европейская кухня, Авторская кухня, ",Средний чек 1500 ₽,"Спасская улица, 15а","['12:00-01:00', '12:00-01:00', '12:00-01:00', '12:00-01:00', '12:00-05:00', '12:00-05:00', '12:00-01:00']",+7 (8332) 43-81-11,https://fabrika-kirov.ru/,https://i0.photo.2gis.com/main/branch/58/70000001020592720/common,70000001020592720,58.602521,49.684555
Чайхана 84/46,Рестораны,"Грузинская кухня, Восточная кухня, Европейская кухня, ",Средний чек 1000 ₽,"улица Карла Маркса, 84а","['11:00-24:00', '11:00-24:00', '11:00-24:00', '11:00-24:00', '11:00-01:00', '11:00-01:00', '11:00-24:00']",+7 (8332) 41-84-46,https://chayhana-kirov.ru/,https://i2.photo.2gis.com/main/branch/58/70000001037822562/common,70000001037822562,58.600078,49.668645
"Сыто-Пряно, винный бар",Бары,"Европейская кухня, ",Средний чек 600 ₽,"Спасская улица, 8","['08:30-23:00', '08:30-23:00', '08:30-23:00', '08:30-23:00', '08:30-24:00', '10:00-24:00', '10:00-23:00']",+7 (8332) 22-12-23,https://fulldrunk.ru/,https://i9.photo.2gis.com/main/branch/58/70000001039323576/common,70000001039323576,58.602055,49.680427
"Friends, первый сырный бар",Рестораны,"Итальянская кухня, ",Средний чек 1200 ₽,"Октябрьский проспект, 120","['12:00-23:00', '12:00-23:00', '12:00-23:00', '12:00-23:00', '12:00-02:00', '12:00-02:00', '12:00-23:00']",+7 (8332) 78-78-70,,https://i6.photo.2gis.com/main/branch/58/70000001045206411/common,70000001045206411,58.583889,49.659266
CubbyBar,Кафе,"Итальянская кухня, Китайская кухня, Вьетнамская кухня, Корейская кухня, Азиатская кухня, Японская кухня, Паназиатская кухня, Тайская кухня, Европейская кухня, Американская кухня, Авторская кухня, ",Средний чек 1000 ₽,"Орловская улица, 13","['12:00-01:00', '12:00-01:00', '12:00-01:00', '12:00-01:00', '12:00-02:00', '12:00-02:00', '12:00-01:00']",+7 (982) 383-35-00,http://cubbybar.ru/,https://i6.photo.2gis.com/main/branch/58/70000001041805975/common,70000001041805975,58.59641,49.685354
"Neon, развлекательный центр",Ночные клубы,,,"улица Ломоносова, 25","['21:00-06:00', '21:00-06:00', '21:00-06:00', '21:00-06:00', '21:00-10:00', '21:00-10:00', '21:00-06:00']",+7 (8332) 25-04-25,,https://i7.photo.2gis.com/main/branch/58/8163302605586674/common,8163302605586674,58.608109,49.609624
"Самое Популярное Кафе, СПК Центр",Кафе,"Итальянская кухня, Японская кухня, Мексиканская кухня, Русская кухня, Европейская кухня, ",Средний чек 700 ₽,"улица Ленина, 73","['12:00-03:00', '12:00-03:00', '12:00-03:00', '12:00-03:00', '12:00-08:00', '12:00-08:00', '12:00-03:00']",8 (800) 700-00-25,http://spkcafe.ru/,https://i4.photo.2gis.com/main/branch/58/8163302605591954/common,8163302605591954,58.602849,49.680775
"Самое Популярное Кафе, СПК Восток",Кафе,"Итальянская кухня, Узбекская кухня, Японская кухня, Мексиканская кухня, Русская кухня, Европейская кухня, Домашняя кухня, Американская кухня, ",Средний чек 700 ₽,"улица Свободы, 11","['12:00-03:00', '12:00-03:00', '12:00-03:00', '12:00-03:00', '12:00-06:00', '12:00-06:00', '12:00-03:00']",8 (800) 700-00-25,http://spkcafe.ru/,https://i1.photo.2gis.com/main/branch/58/8163302605592639/common,8163302605592639,58.61466,49.675502
"Panorama, лаундж-бар",Бары,"Итальянская кухня, Европейская кухня, Американская кухня, ",Средний чек 1000 ₽,"Профсоюзная улица, 1","['12:00-01:00', '12:00-01:00', '12:00-01:00', '12:00-01:00', '12:00-01:00', '12:00-01:00', '12:00-01:00']",+7 (8332) 33-20-20,http://panoramakirov.ru/,https://i0.photo.2gis.com/main/branch/58/70000001024629110/common,70000001024629110,58.615846,49.684314
"Руки ВВерх!, бар",Бары,,,"улица Карла Маркса, 99","['18:00-06:00', '18:00-06:00', '18:00-06:00', '18:00-06:00', '18:00-06:00', '18:00-06:00', '18:00-06:00']",+7 (8332) 21-15-99,http://www.rvbar.ru/,https://i4.photo.2gis.com/main/branch/58/70000001041847810/common,70000001041847810,58.59501,49.66808
"Почта Крафт, бар",Бары,"Европейская кухня, ",Средний чек 600 ₽,"Преображенская улица, 35","['15:00-01:00', '15:00-01:00', '15:00-01:00', '15:00-01:00', '15:00-03:00', '12:00-03:00', '12:00-01:00']",+7 (961) 565-05-79,http://bladbaher.ru/pochta-kraft,https://i5.photo.2gis.com/main/branch/58/70000001021137051/common,70000001021137051,58.605493,49.673026
"Альфа, ресторан",Рестораны,"Итальянская кухня, Японская кухня, Европейская кухня, ",Средний чек 400 ₽,"Московская улица, 129а","['07:00-23:00', '07:00-23:00', '07:00-23:00', '07:00-23:00', '07:00-23:00', '07:00-23:00', '07:00-23:00']",+7 (8332) 25-20-20,http://alphakirov.ru/,https://i7.photo.2gis.com/main/branch/58/70000001017333166/common,70000001017333166,58.603177,49.622848
