Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,E-mail,Веб-сайт 1,Веб-сайт 2,Twitter,ВКонтакте,WhatsApp 1,WhatsApp 2,Viber,Telegram,YouTube,Широта,Долгота,2GIS URL
Zажигалка,стриптиз-бар,Стриптиз-клубы; Бары; Ночные клубы,"Профсоюзная улица, 1",1 этаж,610004,,Первомайский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 22:00-06:00; Вт: 22:00-06:00; Ср: 22:00-06:00; Чт: 22:00-06:00; Пт: 22:00-06:00; Сб: 22:00-06:00; Вс: 22:00-06:00,+03:00,4.6,13,88003338868 (круглосуточный),,web@russtriptease.com,,,,,https://wa.me/79528938868,,viber://chat/?number=79528938868,https://t.me/russtripclub,,58.616272,49.683512,https://2gis.com/firm/70000001026036978
CHILLim Club,,Бары; Кафе; Ночные клубы,"улица Ленина, 82",,610020,Исторический центр,Первомайский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 12:00-03:00; Вт: 12:00-03:00; Ср: 12:00-03:00; Чт: 12:00-03:00; Пт: 12:00-08:00; Сб: 12:00-08:00; Вс: 12:00-03:00,+03:00,4.4,43,89127349004,,chillim.kirov@gmail.com,http://chillimclub.ru,,,https://vk.com/chillim,,,,,,58.602691,49.681369,https://2gis.com/firm/70000001007324403
Тот самый бар,,Бары; Кафе; Пиццерии,"улица Свободы, 135в",,610002,Исторический центр,Первомайский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 11:00-24:00; Вт: 11:00-24:00; Ср: 11:00-24:00; Чт: 11:00-24:00; Пт: 11:00-02:00; Сб: 11:00-02:00; Вс: 11:00-24:00,+03:00,4.1,12,89128270434,,feedback.vyatichbar@gmail.com,http://вятичбар.рф,,,https://vk.com/totsamyibar43,https://wa.me/79128260042,,viber://chat/?number=79128260042,,,58.589396,49.677361,https://2gis.com/firm/70000001062980251
SOLO Центральный,караоке-клуб,Караоке-залы; Кафе; Ночные клубы; Бары,"улица Карла Маркса, 81",1 этаж,610017,,Ленинский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 19:00-07:00; Вт: 19:00-07:00; Ср: 19:00-07:00; Чт: 19:00-07:00; Пт: 19:00-07:00; Сб: 19:00-07:00; Вс: 19:00-07:00,+03:00,3.4,31,88332210005,,,,,,https://vk.com/karaoke_solokirov,,,,,,58.598953,49.66804,https://2gis.com/firm/70000001024628842
PELLI-PILLI CLUB,кафе-караоке,Караоке-залы; Кафе; Бары,"Профсоюзная улица, 44",1 этаж,610004,Исторический центр,Первомайский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 18:00-04:00; Вт: 18:00-04:00; Ср: 18:00-04:00; Чт: 18:00-04:00; Пт: 18:00-05:00; Сб: 18:00-05:00; Вс: 18:00-04:00,+03:00,4.1,24,88332383878,89123641418,,,,,https://vk.com/pellipilliclub,,,,,,58.614907,49.674271,https://2gis.com/firm/70000001017440620
Nobel,гастробар,Рестораны; Бары,"улица Воровского, 43",3 этаж,610027,,Ленинский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 08:00-05:00; Вт: 08:00-05:00; Ср: 08:00-05:00; Чт: 08:00-05:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 08:00-05:00,+03:00,4.6,93,88332220107,,,http://nobel.bar,,,https://vk.com/gastrobarnobel,https://wa.me/79229224302,,,,,58.594455,49.667082,https://2gis.com/firm/70000001036037552
Самое Популярное Кафе Центр,,Кафе; Бары; Доставка готовых блюд; Караоке-залы,"улица Ленина, 73",1 этаж,610020,Исторический центр,Первомайский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 12:00-03:00; Вт: 12:00-03:00; Ср: 12:00-03:00; Чт: 12:00-03:00; Пт: 12:00-08:00; Сб: 12:00-08:00; Вс: 12:00-03:00,+03:00,4.5,171,88007000025 (единая справочная: круглосуточно),,,http://spkcafe.ru,,,https://vk.com/spkkirov,,,,,https://youtube.com/channel/UCvfKTl5Nj5Wa668LlcKVW7Q,58.602849,49.680775,https://2gis.com/firm/8163302605591954
Offshore Drinkeria & Bistro,бар,Бары; Кафе,"Спасская улица, 6",1 этаж,610020,Исторический центр,Первомайский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 08:00-01:00; Вт: 08:00-01:00; Ср: 08:00-01:00; Чт: 08:00-01:00; Пт: 08:00-03:00; Сб: 08:00-03:00; Вс: 08:00-01:00,+03:00,4.7,81,89229950199,,,,,,https://vk.com/offshore.drinkeria,https://wa.me/79229950199,,,,,58.602064,49.681403,https://2gis.com/firm/70000001058651689
Fabrika 3.0,ресторан-клуб,Рестораны; Бары; Ночные клубы; Банкетные залы,"Спасская улица, 15а","1, 2 этаж",610020,Исторический центр,Первомайский район,Киров,Киров городской округ,Кировская область,Россия,Пн: 12:00-01:00; Вт: 12:00-01:00; Ср: 12:00-01:00; Чт: 12:00-01:00; Пт: 12:00-05:00; Сб: 12:00-05:00; Вс: 12:00-01:00,+03:00,3.5,78,88332438111,,,http://fabrika-kirov.ru,,https://twitter.com/434581534726,https://vk.com/fabrikakirov,,,,,https://youtube.com/434581534726,58.602521,49.684555,https://2gis.com/firm/70000001020592720
The Engineer,гастробар-клуб,Рестораны; Бары; Банкетные залы; Доставка готовых блюд; Ночные клубы,"улица Романа Ердякова, 42",,610046,,Октябрьский район,Киров,Киров городской округ,Кировская область,Россия,"Пн: 12:00-23:00; Вт: 12:00-23:00; Ср: 12:00-23:00; Чт: 12:00-04:00; Пт: 12:00-04:00; Сб: 13:00-04:00; Вс: 13:00-04:00 (ночной клуб: чт, вс 20:00-4:00; пт-сб 18:00-4:00)",+03:00,4.8,188,88332222456,,,,,,https://vk.com/engineer.kirov,https://wa.me/79229761799,,,,,58.616772,49.635345,https://2gis.com/firm/70000001032196235
