Название,Категория,Кухня,Ценовой диапозон,Адрес,Режим работы,Телефон,Сайт,Фото,ID,lat,lon
Елки,База отдыха,,,"Антоновский переулок, 3","[' 00:00-24:00', '  00:00-24:00', '  00:00-24:00', '  00:00-24:00', '  00:00-24:00', '  00:00-24:00', '  00:00-24:00']",88332448060,https://vk.com/elki448060,https://i6.photo.2gis.com/images/branch/0/30258560058463822_c3ef_300x300.jpg,70000001021129595,58.57597,49.539009
Слобода,База отдыха,,,"Фабричная улица, 29","[' 00:00-24:00', '  00:00-24:00', '  00:00-24:00', '  00:00-24:00', '  00:00-24:00', '  00:00-24:00', '  00:00-24:00']",88332730116,https://wa.me/79229775908,https://i5.photo.2gis.com/images/branch/0/30258560101831020_0a1b_300x300.jpg,70000001028478481,58.548083,49.67519
Славная,База отдыха,,,"деревня Катковы, 1/1","[' 00:00-24:00', '  00:00-24:00', '  00:00-24:00', '  00:00-24:00', '  00:00-24:00', '  00:00-24:00', '  00:00-24:00']",89539471547,http://travellers-lodge-597.business.site,https://i0.photo.2gis.com/images/branch/0/30258560088669415_b3a2_300x300.jpg,70000001034355974,58.566404,49.536835
Сосновый,Парк семейного отдыха,,,"Новая улица, 2а","[' 00:00-24:00', '  00:00-24:00', '  00:00-24:00', '  00:00-24:00', '  00:00-24:00', '  00:00-24:00', '  00:00-24:00']",88332467312,https://vk.com/baza312,https://i8.photo.2gis.com/images/branch/0/30258560095839371_40e3_300x300.jpg,70000001021118953,58.64998,49.433283
Контраст,База отдыха,,,"Лучистая улица, 1","[' 00:00-24:00', '  00:00-24:00', '  00:00-24:00', '  00:00-24:00', '  00:00-24:00', '  00:00-24:00', '  00:00-24:00']",88332785466,https://vk.com/kontrast43,https://i6.photo.2gis.com/images/branch/58/8162774336838180_ff2c_300x300.jpg,8163302605596363,58.548419,49.490215
В лес!,База отдыха,,,"Яблочная улица, 1","[' 00:00-24:00', '  00:00-24:00', '  00:00-24:00', '  00:00-24:00', '  00:00-24:00', '  00:00-24:00', '  00:00-24:00']",89128263366,https://vk.com/v_les_kirov,https://i2.photo.2gis.com/images/branch/0/30258560099534649_2e09_300x300.jpg,70000001053921396,58.650654,49.790621
Зелёная крыша,База отдыха,,,"Царегородская улица, 11","[' 00:00-24:00', '  00:00-24:00', '  00:00-24:00', '  00:00-24:00', '  00:00-24:00', '  00:00-24:00', '  00:00-24:00']",88332440002,http://relax-kirov.ru,https://i7.photo.2gis.com/images/branch/0/30258560098715950_98af_300x300.jpg,8163302605596154,58.583032,49.515213
Рыжая Лиса,База отдыха,,,"Ягодная улица, 9","[' 00:00-24:00', '  00:00-24:00', '  00:00-24:00', '  00:00-24:00', '  00:00-24:00', '  00:00-24:00', '  00:00-24:00']",88332746543,https://vk.com/baza_lisa,https://i1.photo.2gis.com/images/branch/0/30258560049002235_523c_300x300.jpg,70000001041412498,58.581341,49.511273
Ленивец,Спортивно-банный центр,,,"дорога Порошино-Сидоровка, баня","[' 00:00-24:00', '  00:00-24:00', '  00:00-24:00', '  00:00-24:00', '  00:00-24:00', '  00:00-24:00', '  00:00-24:00']",88332472090,https://vk.com/banya_lenivec_kirov,https://i4.photo.2gis.com/images/branch/58/8162774372155340_d46c_300x300.jpg,70000001035652288,58.582019,49.808958
Хабаровы,База отдыха,,,"деревня Хабаровы, 19а","[' 00:00-24:00', '  00:00-24:00', '  00:00-24:00', '  00:00-24:00', '  00:00-24:00', '  00:00-24:00', '  00:00-24:00']",88332786045,https://vk.com/club104010845,https://i4.photo.2gis.com/images/branch/58/8162774339129896_5ee0_300x300.jpg,70000001021366771,58.651057,49.566665
Дубровский,Глэмпинг,,,"Боровицкая улица, 36","[' 00:00-24:00', '  00:00-24:00', '  00:00-24:00', '  00:00-24:00', '  00:00-24:00', '  00:00-24:00', '  00:00-24:00']",89823839191 (менеджер),http://parkdubrovsky.ru/глэмпинг-киров/,https://i8.photo.2gis.com/images/branch/0/30258560095283908_5a25_300x300.jpg,70000001063198496,58.607081,49.809856
Царь Баня,База отдыха,,,"Новая улица, 14","[' 00:00-24:00', '  00:00-24:00', '  00:00-24:00', '  00:00-24:00', '  00:00-24:00', '  00:00-24:00', '  00:00-24:00']",88332450557,https://vk.com/tzarbanya,https://i1.photo.2gis.com/images/branch/0/30258560062505221_0dd1_300x300.jpg,70000001024684676,58.631655,49.812622
homelekom,Загородный комплекс,,,"Графская улица, 21","[' 00:00-24:00', '  00:00-24:00', '  00:00-24:00', '  00:00-24:00', '  00:00-24:00', '  00:00-24:00', '  00:00-24:00']",88332771774,http://homelekom.com/relaxspa,https://i3.photo.2gis.com/images/branch/58/8162774373814043_a035_300x300.jpg,70000001033704580,58.497795,49.553622
Заборье,Комплекс отдыха,,,"1 км автодороги Киров-Бобино-Сапожнята-Шунки, 1","[' 09:00-24:00', '  09:00-24:00', '  09:00-24:00', '  09:00-24:00', '  09:00-24:00', '  09:00-24:00', '  09:00-24:00']",88332789441,https://vk.com/zaborye462680,https://i8.photo.2gis.com/images/branch/58/8162774358241358_9cfb_300x300.jpg,70000001019489154,58.65539,49.756037
Лесная сказка,Загородный комплекс,Русская кухня Европейская кухня ,Средний чек 700 ₽,"Лесная улица, 1","['Ср: 12:00-22:00', ' Чт: 12:00-22:00', ' Пт: 12:00-24:00', ' Сб: 12:00-24:00', ' Вс: 12:00-22:00', 'Сегодня не работает (уточните время на сайте)', 'Сегодня не работает (уточните время на сайте)']",88332750181,http://сказкакиров.рф,https://i7.photo.2gis.com/images/branch/0/30258560071063523_b768_300x300.jpg,70000001006374692,58.603169,49.90169
Запретная зона,База отдыха,,,"деревня Шатники, 8","[' 00:00-24:00', '  00:00-24:00', '  00:00-24:00', '  00:00-24:00', '  00:00-24:00', '  00:00-24:00', '  00:00-24:00']",88332777608,https://vk.com/zapretnaia_zona,https://i3.photo.2gis.com/images/branch/0/30258560077812426_3150_300x300.jpg,70000001034862145,58.513839,49.541115
Кутузовская,База отдыха,,,"Кутузовская улица, 9","[' 00:00-24:00', '  00:00-24:00', '  00:00-24:00', '  00:00-24:00', '  00:00-24:00', '  00:00-24:00', '  00:00-24:00']",88332464465 (горячая линия: пн-вс 8:00-21:00),https://vk.com/bazkutuzov,https://i5.photo.2gis.com/images/branch/58/8162774336361973_c925_300x300.jpg,70000001023581524,58.603646,49.904504
То самое Место,База отдыха,,,"территория Горняк ст, 62","[' 00:00-24:00', '  00:00-24:00', '  00:00-24:00', '  00:00-24:00', '  00:00-24:00', '  00:00-24:00', '  00:00-24:00']",89991001812,https://vk.com/tosamoemesto43,https://i1.photo.2gis.com/images/branch/0/30258560099201899_82fc_300x300.jpg,70000001067334920,58.630936,49.756092
Пеликан,Развлекательно-оздоровительный комплекс,,,"Кооперативная улица, 12","[' 00:00-24:00', '  00:00-24:00', '  00:00-24:00', '  00:00-24:00', '  00:00-24:00', '  00:00-24:00', '  00:00-24:00']",89229951814,,https://i2.photo.2gis.com/images/branch/0/30258560047035706_ec54_300x300.jpg,70000001019470478,58.52442,49.80967
Деревяшкин дом,База отдыха,,,"Прозоровская улица, 3","[' 00:00-24:00', '  00:00-24:00', '  00:00-24:00', '  00:00-24:00', '  00:00-24:00', '  00:00-24:00', '  00:00-24:00']",89128271793,https://vk.com/dom_derevyashkina,https://i1.photo.2gis.com/images/branch/0/30258560080613691_95f4_300x300.jpg,70000001045240922,58.685371,49.767214
Барская изба,Бани / Сауны,,,"деревня Сватково, 15а","[' 00:00-24:00', '  00:00-24:00', '  00:00-24:00', '  00:00-24:00', '  00:00-24:00', '  00:00-24:00', '  00:00-24:00']",88332784070,https://vk.com/club216526549,https://i9.photo.2gis.com/images/branch/0/30258560098193619_d286_300x300.jpg,70000001006967402,58.536309,49.603977
Прислон,Парк-отель,,,"Прислонная улица, 3","[' 00:00-24:00', '  00:00-24:00', '  00:00-24:00', '  00:00-24:00', '  00:00-24:00', '  00:00-24:00', '  00:00-24:00']",89531329716,https://vk.com/parkotelprislon,https://i3.photo.2gis.com/images/branch/58/8162774373639329_8180_300x300.jpg,70000001006196989,58.738407,49.510699
