Название,Категория,Кухня,Ценовой диапозон,Адрес,Режим работы,Телефон,Сайт,Фото,ID,lat,lon
CHILLim Cyber Lounge,Компьютерные клубы,Итальянская кухня Европейская кухня Американская кухня ,,"Московская улица, 54","[' 00:00-24:00', '  00:00-24:00', '  00:00-24:00', '  00:00-24:00', '  00:00-24:00', '  00:00-24:00', '  00:00-24:00']",89127349005,http://chillimcyber.online/,https://i9.photo.2gis.com/images/branch/0/30258560071309938_1ba8_300x300.jpg,70000001047676860,58.603161,49.658216
Four,Ресторан,Итальянская кухня Русская кухня Европейская кухня Авторская кухня ,,"Октябрьский проспект, 145 к1","[' 06:00-23:00', '  06:00-23:00', '  06:00-23:00', '  06:00-23:00', '  06:00-23:00', '  06:00-23:00', '  06:00-23:00']",88332204191,http://four-kirov.ru,https://i2.photo.2gis.com/images/branch/0/30258560089470116_aba3_300x300.jpg,70000001007379384,58.590339,49.657452
Царское Село,Ресторация русской кухни,Русская кухня Европейская кухня ,Средний чек 1500 ₽,"улица Герцена, 78","[' 08:30-23:00', '  08:30-23:00', '  08:30-23:00', '  08:30-23:00', '  08:30-24:00', '  12:00-24:00', '  12:00-23:00']",88332405343,http://m-kyhnia.ru/tsarskoe-selo/,https://i7.photo.2gis.com/images/branch/0/30258560097012176_812d_300x300.jpg,8163302605593109,58.599747,49.656206
Nobel,Гастробар,Европейская кухня ,Средний чек 900 ₽,"улица Воровского, 43","[' 08:00-05:00', '  08:00-05:00', '  08:00-05:00', '  08:00-05:00', '  00:00-24:00', '  00:00-24:00', '  08:00-05:00']",88332220107,http://nobel.bar,https://i0.photo.2gis.com/images/branch/0/30258560099678601_93d1_300x300.jpg,70000001036037552,58.594455,49.667082
Offshore Drinkeria & Bistro,Бар,Паназиатская кухня ,,"Спасская улица, 6","[' 08:00-01:00', '  08:00-01:00', '  08:00-01:00', '  08:00-01:00', '  08:00-03:00', '  08:00-03:00', '  08:00-01:00']",89229950199,https://vk.com/offshore.drinkeria,https://i1.photo.2gis.com/images/branch/0/30258560090994191_9cb6_300x300.jpg,70000001058651689,58.602064,49.681403
Сулугуни,Кафе грузинской кухни,Грузинская кухня Кавказская кухня ,Средний чек 800 ₽,"улица Ленина, 71а","[' 10:55-23:00', '  10:55-23:00', '  10:55-23:00', '  10:55-23:00', '  10:55-24:00', '  10:55-24:00', '  10:55-23:00 (служба доставки: пн-вс 11:00-22:00)']",88332464530,http://sulugunikirov.ru,https://i6.photo.2gis.com/images/branch/0/30258560093494018_e79b_300x300.jpg,70000001027621967,58.603307,49.680738
Сулугуни,Кафе грузинской кухни,Грузинская кухня Кавказская кухня ,Средний чек 800 ₽,"улица Екатерины Кочкиной, 3Б","[' 10:55-23:00', '  10:55-23:00', '  10:55-23:00', '  10:55-23:00', '  10:55-24:00', '  10:55-24:00', '  10:55-23:00 (служба доставки: пн-вс 11:00-22:00)']",88332440070,http://sulugunikirov.ru,https://i2.photo.2gis.com/images/branch/0/30258560099362029_a019_300x300.jpg,70000001046222472,58.595916,49.602158
Ойкумена,Ресторан,,,"улица Герцена, 15","[' 07:30-23:00', '  07:30-23:00', '  07:30-23:00', '  07:30-23:00', '  07:30-24:00', '  09:00-24:00', '  09:00-23:00']",89226637008,https://vk.com/club214263392,https://i9.photo.2gis.com/images/branch/0/30258560096594493_8af6_300x300.jpg,70000001061537782,58.600422,49.67611
Вкусно — и точка,Быстрое питание,,,"Октябрьский проспект, 147а","[' 07:00-24:00', '  07:00-24:00', '  07:00-24:00', '  07:00-24:00', '  07:00-24:00', '  07:00-24:00', '  07:00-24:00']",88332203794,http://vkusnoitochka.ru,https://i7.photo.2gis.com/images/branch/0/30258560080997544_c948_300x300.jpg,8163303606103681,58.588547,49.657439
Академия Хинкали на Казанской,Кафе,Грузинская кухня ,Средний чек 550 ₽,"Казанская улица, 77Б","[' 09:00-23:00', '  09:00-23:00', '  09:00-23:00', '  09:00-23:00', '  09:00-24:00', '  09:00-24:00', '  09:00-23:00']",88332454588,http://akk43.ru,https://i5.photo.2gis.com/images/branch/0/30258560096250407_4cc3_300x300.jpg,70000001037593401,58.603008,49.683893
Хлеб & Пицца для друзей,Ресторан,Итальянская кухня Русская кухня Европейская кухня ,Средний чек 550 ₽,"Красноармейская улица, 5","[' 09:00-22:00', '  09:00-22:00', '  09:00-22:00', '  09:00-22:00', '  09:00-22:00', '  09:00-22:00', '  09:00-22:00']",88332206214 (бронирование столиков),http://хлебипицца.рф,https://i1.photo.2gis.com/images/branch/0/30258560100351880_ecac_300x300.jpg,70000001060047733,58.591956,49.679536
Сыто-Пряно,Винный бар,Европейская кухня ,Средний чек 600 ₽,"Спасская улица, 8","[' 08:30-23:00', '  08:30-23:00', '  08:30-23:00', '  08:30-23:00', '  08:30-24:00', '  10:00-24:00', '  10:00-23:00']",88332221223,http://fulldrunk.ru,https://i0.photo.2gis.com/images/branch/0/30258560067696435_0c6b_300x300.jpg,70000001039323576,58.602055,49.680427
Академия кавказской кухни,Рестораны,Кавказская кухня ,Средний чек 1200 ₽,"улица Янтарная слобода, 14в","[' 10:00-23:00', '  10:00-23:00', '  10:00-23:00', '  10:00-23:00', '  10:00-24:00', '  10:00-24:00', '  10:00-23:00 (первый пн месяца: 12:00-23:00)']",88332454445,http://akk43.ru,https://i8.photo.2gis.com/images/branch/0/30258560089316683_fe2b_300x300.jpg,70000001028975354,58.611646,49.789372
Яйцо,Кафе,,Средний чек 600 ₽,"улица Воровского, 10","[' 08:00-20:00', '  08:00-20:00', '  08:00-20:00', '  08:00-20:00', '  08:00-20:00', '  08:00-20:00', '  08:00-20:00']",88332754324,https://vk.com/eggcafe43,https://i3.photo.2gis.com/images/branch/0/30258560096250865_05db_300x300.jpg,70000001066080631,58.593903,49.679244
Bomarshe,Арт-кондитерская,,,"Преображенская улица, 29","[' 08:00-21:00', '  08:00-21:00', '  08:00-21:00', '  08:00-21:00', '  08:00-21:00', '  09:00-21:00', '  10:00-21:00']",88332412525,https://vk.com/bomarsheart,https://i2.photo.2gis.com/images/branch/0/30258560096238051_a279_300x300.jpg,70000001057637527,58.60553,49.675189
Terrace,Ресторан,Французская кухня ,Средний чек 1700 ₽,"Профсоюзная улица, 23","[' 08:00-23:00', '  08:00-23:00', '  08:00-23:00', '  08:00-23:00', '  08:00-23:00', '  08:00-23:00', '  08:00-23:00']",88003010824,http://bliss-terrace.ru/,https://i7.photo.2gis.com/images/branch/0/30258560088555982_c7f2_300x300.jpg,70000001024246906,58.615476,49.677387
Кухня,Семейное кафе,Итальянская кухня Кавказская кухня Русская кухня ,Средний чек 500 ₽,"улица Молодой Гвардии, 96","[' 11:00-22:00', '  11:00-22:00', '  11:00-22:00', '  11:00-22:00', '  11:00-23:00', '  11:00-23:00', '  11:00-22:00']",88332225544,https://vk.com/cafekuhnya43,https://i8.photo.2gis.com/images/branch/0/30258560091786333_5a67_300x300.jpg,70000001007429479,58.597382,49.646583
