Название,Категория,Кухня,Ценовой диапозон,Адрес,Режим работы,Телефон,Сайт,Фото,ID,lat,lon
SOLO Центральный,Караоке-клуб,Кавказская кухня Русская кухня Европейская кухня ,Средний чек 500 ₽,"улица Карла Маркса, 81","[' 19:00-07:00', '  19:00-07:00', '  19:00-07:00', '  19:00-07:00', '  19:00-07:00', '  19:00-07:00', '  19:00-07:00']",88332210005,https://vk.com/karaoke_solokirov,https://i4.photo.2gis.com/images/branch/0/30258560060388399_d296_300x300.jpg,70000001024628842,58.598953,49.66804
PELLI-PILLI CLUB,Кафе-караоке,Русская кухня Европейская кухня ,Средний чек 800 ₽,"Профсоюзная улица, 44","[' 18:00-04:00', '  18:00-04:00', '  18:00-04:00', '  18:00-04:00', '  18:00-05:00', '  18:00-05:00', '  18:00-04:00']",88332383878,https://vk.com/pellipilliclub,https://i2.photo.2gis.com/images/branch/58/8162774359176078_45a5_300x300.jpg,70000001017440620,58.614907,49.674271
Самое Популярное Кафе Центр,Кафе,Итальянская кухня Русская кухня Европейская кухня ,Средний чек 700 ₽,"улица Ленина, 73","[' 12:00-03:00', '  12:00-03:00', '  12:00-03:00', '  12:00-03:00', '  12:00-08:00', '  12:00-08:00', '  12:00-03:00']",88007000025 (единая справочная: круглосуточно),http://spkcafe.ru,https://i8.photo.2gis.com/images/branch/0/30258560100720836_62f2_300x300.jpg,8163302605591954,58.602849,49.680775
Руки ВВерх!,Бар,,,"улица Карла Маркса, 99","[' 18:00-06:00', '  18:00-06:00', '  18:00-06:00', '  18:00-06:00', '  18:00-06:00', '  18:00-06:00', '  18:00-06:00']",88332211599,http://rvbar.ru,https://i9.photo.2gis.com/images/branch/0/30258560100782450_6d18_300x300.jpg,70000001041847810,58.59501,49.66808
Club One,Ночные клубы,,,"Пролетарская улица, 17","[' 20:00-06:00', '  20:00-06:00', '  20:00-06:00', '  20:00-06:00', '  20:00-08:00', '  20:00-08:00', '  20:00-06:00']",89991000010,https://vk.com/club_one_club,https://i9.photo.2gis.com/images/branch/0/30258560068609556_6feb_300x300.jpg,70000001025916318,58.589758,49.677036
Атмосфера,Рок-бар,Итальянская кухня Русская кухня ,,"Советская улица, 51","['Ср: 19:00-02:00', ' Чт: 19:00-02:00', ' Пт: 19:00-04:00', ' Сб: 19:00-04:00', ' Вс: 19:00-02:00', 'Сегодня не работает (уточните время на сайте)', 'Сегодня не работает (уточните время на сайте)']",89536782768,https://vk.com/atmosfera_pub_kirov,https://i2.photo.2gis.com/images/branch/0/30258560091440646_89e7_300x300.jpg,70000001023915131,58.61341,49.668846
SOLO 2.0,Караоке-клуб,Итальянская кухня Русская кухня Европейская кухня Американская кухня ,Средний чек 800 ₽,"улица Свободы, 135","[' 19:00-07:00', '  19:00-07:00', '  19:00-07:00', '  19:00-07:00', '  19:00-07:00', '  19:00-07:00', '  19:00-07:00']",88332205585,https://vk.com/solokirov2,https://i7.photo.2gis.com/images/branch/0/30258560085672524_b4ef_300x300.jpg,70000001055201205,58.588215,49.67749
SOLO Первый,Караоке-клуб,Японская кухня Кавказская кухня Русская кухня Европейская кухня ,Средний чек 500 ₽,"Комсомольская улица, 40","[' 19:00-07:00', '  19:00-07:00', '  19:00-07:00', '  19:00-07:00', '  19:00-07:00', '  19:00-07:00', '  19:00-07:00']",88332210285,https://vk.com/karaokesolokirov,https://i6.photo.2gis.com/images/branch/0/30258560060389885_a0bc_300x300.jpg,8163303606068501,58.580399,49.657807
Amsterdam,Ночной клуб,,,"Производственная улица, 1а","[' 20:00-05:00', '  20:00-05:00', '  20:00-05:00', '  20:00-05:00', '  20:00-06:00', '  20:00-06:00', '  20:00-05:00']",88332510232,https://vk.com/amsterdamkirov,https://i2.photo.2gis.com/images/branch/58/8162774358468666_6f69_300x300.jpg,8163302605587163,58.601176,49.611417
Крем,Кафе,Итальянская кухня Русская кухня Европейская кухня ,Средний чек 600 ₽,"улица Гайдара, 1","['Пт: 16:00-24:00', ' Сб: 16:00-24:00 (караоке-зал: пт-сб 18:00-3:00)', 'Сегодня не работает (уточните время на сайте)', 'Сегодня не работает (уточните время на сайте)', 'Сегодня не работает (уточните время на сайте)', 'Сегодня не работает (уточните время на сайте)', 'Сегодня не работает (уточните время на сайте)']",88332444075,http://krem43.ru,https://i9.photo.2gis.com/images/branch/0/30258560050986442_6945_300x300.jpg,70000001007433037,58.628254,49.641338
