Название,Категория,Кухня,Ценовой диапозон,Адрес,Режим работы,Телефон,Сайт,Фото,ID,lat,lon
CHILLim Club,Бары,Итальянская кухня Японская кухня Европейская кухня ,Средний чек 500 ₽,"улица Ленина, 82","[' 12:00-03:00', '  12:00-03:00', '  12:00-03:00', '  12:00-03:00', '  12:00-08:00', '  12:00-08:00', '  12:00-03:00']",89127349004,http://chillimclub.ru,https://i6.photo.2gis.com/images/branch/0/30258560065186755_717e_300x300.jpg,70000001007324403,58.602691,49.681369
Тот самый бар,Бары,,,"улица Свободы, 135в","[' 11:00-24:00', '  11:00-24:00', '  11:00-24:00', '  11:00-24:00', '  11:00-02:00', '  11:00-02:00', '  11:00-24:00']",89128270434,http://вятичбар.рф,https://i8.photo.2gis.com/images/branch/0/30258560092286103_21e0_300x300.jpg,70000001062980251,58.589396,49.677361
Сушилка,Удобные кафе,Итальянская кухня Японская кухня Европейская кухня ,,"улица Воровского, 114","[' 10:00-23:00', '  10:00-23:00', '  10:00-23:00', '  10:00-23:00', '  10:00-23:00', '  10:00-23:00', '  10:00-23:00']",88332444943,http://sushi-pizzi.ru/?utm_source=2gis&utm_medium=link,https://i1.photo.2gis.com/images/branch/0/30258560077739117_98b7_300x300.jpg,70000001017179875,58.596773,49.591028
PELLI-PILLI CLUB,Кафе-караоке,Русская кухня Европейская кухня ,Средний чек 800 ₽,"Профсоюзная улица, 44","[' 18:00-04:00', '  18:00-04:00', '  18:00-04:00', '  18:00-04:00', '  18:00-05:00', '  18:00-05:00', '  18:00-04:00']",88332383878,,https://i2.photo.2gis.com/images/branch/58/8162774359176078_45a5_300x300.jpg,70000001017440620,58.614907,49.674271
SHAU,Кафе,,Средний чек 220 ₽,"Преображенская улица, 25","[' 10:00-22:00', '  10:00-22:00', '  10:00-22:00', '  10:00-22:00', '  10:00-22:00', '  10:00-22:00', '  10:00-22:00']",88332711744,http://шау.рф,https://i8.photo.2gis.com/images/branch/0/30258560081472713_4cde_300x300.jpg,70000001060149183,58.605613,49.676216
Four,Ресторан,Итальянская кухня Русская кухня Европейская кухня Авторская кухня ,,"Октябрьский проспект, 145 к1","[' 06:00-23:00', '  06:00-23:00', '  06:00-23:00', '  06:00-23:00', '  06:00-23:00', '  06:00-23:00', '  06:00-23:00']",88332204191,http://four-kirov.ru,https://i2.photo.2gis.com/images/branch/0/30258560089470116_aba3_300x300.jpg,70000001007379384,58.590339,49.657452
Дача,Городское кафе,Итальянская кухня Грузинская кухня Русская кухня ,Средний чек 800 ₽,"Динамовский проезд, 4","[' 11:00-23:00', '  11:00-23:00', '  11:00-23:00', '  11:00-23:00', '  11:00-23:00', '  11:00-23:00', '  11:00-23:00']",88332440039,,https://i3.photo.2gis.com/images/branch/0/30258560100568248_c285_300x300.jpg,70000001031069139,58.60658,49.687225
Агата,Кафе,Японская кухня Европейская кухня Авторская кухня ,Средний чек 600 ₽,"улица Маклина, 56","[' 09:00-23:00', '  09:00-23:00', '  09:00-23:00', '  09:00-23:00', '  09:00-23:00', '  09:00-23:00', '  09:00-23:00']",88332431414,http://кафеагата.рф,https://i6.photo.2gis.com/images/branch/0/30258560096320407_4640_300x300.jpg,8163302605586955,58.594897,49.642326
Самое Популярное Кафе Центр,Кафе,Итальянская кухня Русская кухня Европейская кухня ,Средний чек 700 ₽,"улица Ленина, 73","[' 12:00-03:00', '  12:00-03:00', '  12:00-03:00', '  12:00-03:00', '  12:00-08:00', '  12:00-08:00', '  12:00-03:00']",88007000025 (единая справочная: круглосуточно),http://spkcafe.ru,https://i8.photo.2gis.com/images/branch/0/30258560100720836_62f2_300x300.jpg,8163302605591954,58.602849,49.680775
Offshore Drinkeria & Bistro,Бар,Паназиатская кухня ,,"Спасская улица, 6","[' 08:00-01:00', '  08:00-01:00', '  08:00-01:00', '  08:00-01:00', '  08:00-03:00', '  08:00-03:00', '  08:00-01:00']",89229950199,,https://i1.photo.2gis.com/images/branch/0/30258560090994191_9cb6_300x300.jpg,70000001058651689,58.602064,49.681403
