Название,Категория,Кухня,Ценовой диапозон,Адрес,Режим работы,Телефон,Сайт,Фото,ID,lat,lon
Four,Ресторан,Итальянская кухня Русская кухня Европейская кухня Авторская кухня ,,"Октябрьский проспект, 145 к1","[' 06:00-23:00', '  06:00-23:00', '  06:00-23:00', '  06:00-23:00', '  06:00-23:00', '  06:00-23:00', '  06:00-23:00']",88332204191,http://four-kirov.ru,https://i2.photo.2gis.com/images/branch/0/30258560089470116_aba3_300x300.jpg,70000001007379384,58.590339,49.657452
Трактиръ Колесо,Рестораны,Русская кухня Европейская кухня ,Средний чек 900 ₽,"улица Сурикова, 19","[' 11:30-23:00', '  11:30-23:00', '  11:30-23:00', '  11:30-23:00', '  11:30-01:00', '  12:00-01:00', '  12:00-23:00']",88332760533,http://m-kyhnia.ru/koleso/surikova/,https://i7.photo.2gis.com/images/branch/0/30258560088332285_f397_300x300.jpg,8163302605677640,58.58771,49.635932
Куркума,Ресторан-чайхана,Узбекская кухня Восточная кухня Турецкая кухня Еврейская кухня ,Средний чек 600 ₽,"Спасская улица, 67","[' 11:00-23:00', '  11:00-23:00', '  11:00-23:00', '  11:00-23:00', '  11:00-01:00', '  11:00-01:00', '  11:00-23:00']",88332470220,https://vk.com/curcumakirov,https://i1.photo.2gis.com/images/branch/0/30258560097330734_6400_300x300.jpg,70000001039265199,58.60185,49.660061
Царское Село,Ресторация русской кухни,Русская кухня Европейская кухня ,Средний чек 1500 ₽,"улица Герцена, 78","[' 08:30-23:00', '  08:30-23:00', '  08:30-23:00', '  08:30-23:00', '  08:30-24:00', '  12:00-24:00', '  12:00-23:00']",88332405343,http://m-kyhnia.ru/tsarskoe-selo/,https://i7.photo.2gis.com/images/branch/0/30258560097012176_812d_300x300.jpg,8163302605593109,58.599747,49.656206
Nobel,Гастробар,Европейская кухня ,Средний чек 900 ₽,"улица Воровского, 43","[' 08:00-05:00', '  08:00-05:00', '  08:00-05:00', '  08:00-05:00', '  00:00-24:00', '  00:00-24:00', '  08:00-05:00']",88332220107,http://nobel.bar,https://i0.photo.2gis.com/images/branch/0/30258560099678601_93d1_300x300.jpg,70000001036037552,58.594455,49.667082
Fabrika 3.0,Ресторан-клуб,Русская кухня Европейская кухня Авторская кухня ,Средний чек 1500 ₽,"Спасская улица, 15а","[' 12:00-01:00', '  12:00-01:00', '  12:00-01:00', '  12:00-01:00', '  12:00-05:00', '  12:00-05:00', '  12:00-01:00']",88332438111,http://fabrika-kirov.ru,https://i0.photo.2gis.com/images/branch/0/30258560090528968_c250_300x300.jpg,70000001020592720,58.602521,49.684555
The Engineer,Гастробар-клуб,Русская кухня Европейская кухня Авторская кухня ,Средний чек 1300 ₽,"улица Романа Ердякова, 42","[' 12:00-23:00', '  12:00-23:00', '  12:00-23:00', '  12:00-04:00', '  12:00-04:00', '  13:00-04:00', '  13:00-04:00 (ночной клуб: чт, вс 20:00-4:00']",88332222456,https://vk.com/engineer.kirov,https://i5.photo.2gis.com/images/branch/0/30258560089727464_ae8e_300x300.jpg,70000001032196235,58.616772,49.635345
Васнецовъ,Ресторан,Русская кухня Французская кухня ,Средний чек 1000 ₽,"Спасская улица, 41в","[' 11:00-23:00', '  11:00-23:00', '  11:00-23:00', '  11:00-23:00', '  11:00-23:00', '  11:00-23:00', '  11:00-23:00']",88332441818,http://ресторан-васнецов.рф,https://i3.photo.2gis.com/images/branch/0/30258560096908516_df7e_300x300.jpg,8163302605708846,58.602102,49.672714
Mama Roma,Итальянский ресторан,Итальянская кухня ,Средний чек 700 ₽,"улица Карла Маркса, 89","[' 11:00-23:00', '  11:00-23:00', '  11:00-23:00', '  11:00-23:00', '  11:00-23:00', '  11:00-23:00', '  11:00-23:00']",88332413323,http://mamaroma.ru,https://i4.photo.2gis.com/images/branch/0/30258560099214964_232f_300x300.jpg,70000001030153012,58.598334,49.668111
Izakaya Koi,Японский гастро-паб,Азиатская кухня Японская кухня Паназиатская кухня ,Средний чек 700 ₽,"Преображенская улица, 65","[' 11:00-23:00', '  11:00-23:00', '  11:00-23:00', '  11:00-23:00', '  11:00-01:00', '  11:00-01:00', '  11:00-23:00']",88332420442,http://koi-izakaya.ru,https://i7.photo.2gis.com/images/branch/0/30258560099145751_83b2_300x300.jpg,70000001040787120,58.605503,49.664365
Ойкумена,Ресторан,,,"улица Герцена, 15","[' 07:30-23:00', '  07:30-23:00', '  07:30-23:00', '  07:30-23:00', '  07:30-24:00', '  09:00-24:00', '  09:00-23:00']",89226637008,https://vk.com/club214263392,https://i9.photo.2gis.com/images/branch/0/30258560096594493_8af6_300x300.jpg,70000001061537782,58.600422,49.67611
Чайхана 84/46,Рестораны,Грузинская кухня Восточная кухня Европейская кухня ,Средний чек 1000 ₽,"улица Карла Маркса, 84а","[' 11:00-24:00', '  11:00-24:00', '  11:00-24:00', '  11:00-24:00', '  11:00-01:00', '  11:00-01:00', '  11:00-24:00']",88332418446,http://chayhana-kirov.ru,https://i4.photo.2gis.com/images/branch/0/30258560098447968_0d73_300x300.jpg,70000001037822562,58.600078,49.668645
Fame,Итальянский ресторан,Итальянская кухня Европейская кухня ,,"Динамовский проезд, 22","[' 11:00-23:00', '  11:00-23:00', '  11:00-23:00', '  11:00-23:00', '  11:00-24:00', '  11:00-24:00', '  11:00-23:00']",88332777002,http://pastafame.ru,https://i3.photo.2gis.com/images/branch/0/30258560101642297_3513_300x300.jpg,70000001061371415,58.603068,49.686814
Friends,Первый сырный бар,Итальянская кухня ,Средний чек 1200 ₽,"Октябрьский проспект, 120","[' 12:00-23:00', '  12:00-23:00', '  12:00-23:00', '  12:00-23:00', '  12:00-02:00', '  12:00-02:00', '  12:00-23:00']",88332787870,http://friends43.ru,https://i4.photo.2gis.com/images/branch/0/30258560096223161_f68a_300x300.jpg,70000001045206411,58.583889,49.659266
Хлеб & Пицца для друзей,Ресторан,Итальянская кухня Русская кухня Европейская кухня ,Средний чек 550 ₽,"Красноармейская улица, 5","[' 09:00-22:00', '  09:00-22:00', '  09:00-22:00', '  09:00-22:00', '  09:00-22:00', '  09:00-22:00', '  09:00-22:00']",88332206214 (бронирование столиков),http://хлебипицца.рф,https://i1.photo.2gis.com/images/branch/0/30258560100351880_ecac_300x300.jpg,70000001060047733,58.591956,49.679536
CubbyBar,Кафе,Итальянская кухня Китайская кухня Вьетнамская кухня Корейская кухня Азиатская кухня Японская кухня Паназиатская кухня Тайская кухня Европейская кухня Американская кухня Авторская кухня ,Средний чек 1000 ₽,"Орловская улица, 13","[' 12:00-01:00', '  12:00-01:00', '  12:00-01:00', '  12:00-01:00', '  12:00-02:00', '  12:00-02:00', '  12:00-01:00']",88332433500,http://cubbybar.ru,https://i1.photo.2gis.com/images/branch/0/30258560094829781_03e0_300x300.jpg,70000001041805975,58.59641,49.685354
Академия кавказской кухни,Рестораны,Кавказская кухня ,Средний чек 1200 ₽,"улица Янтарная слобода, 14в","[' 10:00-23:00', '  10:00-23:00', '  10:00-23:00', '  10:00-23:00', '  10:00-24:00', '  10:00-24:00', '  10:00-23:00 (первый пн месяца: 12:00-23:00)']",88332454445,http://akk43.ru,https://i8.photo.2gis.com/images/branch/0/30258560089316683_fe2b_300x300.jpg,70000001028975354,58.611646,49.789372
Пивной дворик,Трактир,Кавказская кухня Европейская кухня Американская кухня ,Средний чек 1000 ₽,"Спасская улица, 41","[' 11:00-24:00', '  11:00-24:00', '  11:00-24:00', '  11:00-24:00', '  11:00-02:00', '  11:00-02:00', '  11:00-24:00']",88332647000,http://pivnoydvorik.ru,https://i5.photo.2gis.com/images/branch/0/30258560098925805_3f89_300x300.jpg,8163302605591288,58.602126,49.673925
Terrace,Ресторан,Французская кухня ,Средний чек 1700 ₽,"Профсоюзная улица, 23","[' 08:00-23:00', '  08:00-23:00', '  08:00-23:00', '  08:00-23:00', '  08:00-23:00', '  08:00-23:00', '  08:00-23:00']",88003010824,http://bliss-terrace.ru/,https://i7.photo.2gis.com/images/branch/0/30258560088555982_c7f2_300x300.jpg,70000001024246906,58.615476,49.677387
Альфа,Ресторан,Итальянская кухня Японская кухня Европейская кухня ,Средний чек 400 ₽,"Московская улица, 129а","[' 07:00-23:00', '  07:00-23:00', '  07:00-23:00', '  07:00-23:00', '  07:00-23:00', '  07:00-23:00', '  07:00-23:00']",88332252020 (ресторан),http://alphakirov.ru,https://i9.photo.2gis.com/images/branch/0/30258560083283880_e405_300x300.jpg,70000001017333166,58.603177,49.622848
Рыба-Пила,Загородный комплекс,Русская кухня Европейская кухня ,Средний чек 1000 ₽,"территория Центр культурного отдыха, 2","[' 10:00-23:00', '  10:00-23:00', '  10:00-23:00', '  10:00-23:00', '  10:00-23:00', '  10:00-23:00', '  10:00-23:00']",88332477760,https://vk.com/ribapilakirov,https://i0.photo.2gis.com/images/branch/0/30258560049704904_3eb8_300x300.jpg,70000001006980261,58.666364,49.640416
Арбат,Гастрономический ресторан,,Средний чек 1500 ₽,"Московская улица, 52/1","[' 11:00-22:00', '  11:00-22:00', '  11:00-22:00', '  11:00-22:00', '  11:00-02:00', '  12:00-02:00', '  12:00-22:00']",88332206307,http://bladbaher.ru/arbat,https://i1.photo.2gis.com/images/branch/58/8162774373945869_8b1a_300x300.jpg,70000001036320453,58.603283,49.660685
Blad Baher,Пивной бар,Итальянская кухня Европейская кухня Американская кухня ,Средний чек 700 ₽,"улица Чапаева, 48а","[' 14:00-02:00', '  14:00-02:00', '  14:00-02:00', '  14:00-02:00', '  14:00-05:00', '  14:00-05:00', '  14:00-02:00']",88332206305,http://bladbaher.ru,https://i5.photo.2gis.com/images/branch/0/30258560088896291_5873_300x300.jpg,70000001032629231,58.580599,49.64843
Провино,Бар,,,"улица Ленина, 86","[' 10:00-23:00', '  10:00-23:00', '  10:00-23:00', '  10:00-23:00', '  10:00-24:00', '  10:00-24:00', '  10:00-23:00']",88332222702,http://provinoshop.ru,https://i0.photo.2gis.com/images/branch/0/30258560084822586_87e0_300x300.jpg,70000001055135351,58.601364,49.681453
Хлынов,Ресторан,Русская кухня Европейская кухня ,Средний чек 150 ₽,"Комсомольская улица, 14","[' 11:00-15:00', '  11:00-15:00', '  11:00-15:00', '  11:00-15:00', '  11:00-15:00', 'Сегодня не работает (уточните время на сайте)', 'Сегодня не работает (уточните время на сайте)']",88332673344 (многоканальный),http://ресторан-хлынов.рф,https://i5.photo.2gis.com/images/branch/0/30258560071114667_1734_300x300.jpg,8163302605593072,58.583409,49.665901
Krn,Бар,,Средний чек 1000 ₽,"улица Романа Ердякова, 50 ст1","[' 12:00-01:00', '  12:00-01:00', '  12:00-01:00', '  12:00-01:00', '  12:00-03:00', '  12:00-03:00', '  12:00-01:00']",88332422477,https://vk.com/krn_bar,https://i2.photo.2gis.com/images/branch/0/30258560083516336_daf9_300x300.jpg,70000001040629971,58.617438,49.633794
Камелот,Ресторан армянской кухни,Армянская кухня ,Средний чек 700 ₽,"Парковая улица, 5","[' 12:00-24:00', '  12:00-24:00', '  12:00-24:00', '  12:00-24:00', '  12:00-03:00', '  12:00-03:00', '  12:00-01:00']",88332506050,https://vk.com/restaurant_kamelot_kirov,https://i0.photo.2gis.com/images/branch/58/8162774370473912_f593_300x300.jpg,70000001030608794,58.553113,49.643222
Юрта Чингисхана,Ресторан,Бурятская кухня Казахская кухня Монгольская кухня ,Средний чек 700 ₽,"улица Талица, 46","[' 16:00-23:00', '  16:00-23:00', '  16:00-23:00', '  16:00-23:00', '  16:00-24:00', '  12:00-24:00', '  12:00-23:00']",88332424211,http://akk43.ru/yurt/,https://i0.photo.2gis.com/images/branch/0/30258560089151918_876d_300x300.jpg,70000001035489023,58.611699,49.787953
Лесная сказка,Загородный комплекс,Русская кухня Европейская кухня ,Средний чек 700 ₽,"Лесная улица, 1","['Ср: 12:00-22:00', ' Чт: 12:00-22:00', ' Пт: 12:00-24:00', ' Сб: 12:00-24:00', ' Вс: 12:00-22:00', 'Сегодня не работает (уточните время на сайте)', 'Сегодня не работает (уточните время на сайте)']",88332750181,http://сказкакиров.рф,https://i7.photo.2gis.com/images/branch/0/30258560071063523_b768_300x300.jpg,70000001006374692,58.603169,49.90169
Угольки,Гриль-бар,Русская кухня ,Средний чек 300 ₽,"улица Менделеева, 21","[' 12:00-23:00', '  12:00-23:00', '  12:00-23:00', '  12:00-23:00', '  12:00-23:00', '  12:00-23:00', '  12:00-23:00']",88332450388,http://selipoeli.ru,https://i6.photo.2gis.com/images/branch/0/30258560091001470_f99e_300x300.jpg,70000001025952921,58.601771,49.60192
Castle,Ресторан,,,"Советская улица, 47","[' 10:00-22:00', '  10:00-22:00', '  10:00-22:00', '  10:00-22:00', '  10:00-02:00', '  10:00-02:00', '  10:00-02:00 (по предварительной записи: пн-вс)']",,https://vk.com/club189930749,https://i0.photo.2gis.com/images/branch/0/30258560084010681_6f2a_300x300.jpg,70000001040753948,58.508593,49.701654
Угольки,Гриль-бар,Русская кухня Европейская кухня ,,"Профсоюзная улица, 68","[' 12:00-23:00', '  12:00-23:00', '  12:00-23:00', '  12:00-23:00', '  12:00-23:00', '  12:00-23:00', '  12:00-23:00']",89229950382,http://selipoeli.ru,https://i2.photo.2gis.com/images/branch/0/30258560064630534_0442_300x300.jpg,70000001030450802,58.614754,49.666166
Данар-Мангал,Кафе,Японская кухня ,Средний чек 400 ₽,"улица Щорса, 62/5","[' 09:00-23:00', '  09:00-23:00', '  09:00-23:00', '  09:00-23:00', '  09:00-23:00', '  09:00-23:00', '  09:00-23:00']",88332535353,http://danar.ru,https://i4.photo.2gis.com/images/branch/0/30258560094998431_d7cd_300x300.jpg,70000001047214473,58.577263,49.604688
Наша Дача 2,Кафе-караоке,Русская кухня ,Средний чек 800 ₽,"улица Луначарского, 3","[' 12:00-21:00', '  12:00-21:00', '  12:00-01:00', '  12:00-01:00', '  12:00-03:00', '  12:00-03:00', '  12:00-01:00']",88332448778,https://vk.com/nasha_dacha_448778,https://i2.photo.2gis.com/images/branch/0/30258560053731329_c517_300x300.jpg,70000001042939736,58.614374,49.696429
Русский бургер,Кафе быстрого питания,Русская кухня ,Средний чек 120 ₽,"Октябрьский проспект, 84/1","[' 08:00-22:00', '  08:00-22:00', '  08:00-22:00', '  08:00-22:00', '  08:00-22:00', '  08:00-22:00', '  08:00-22:00']",89005232022,https://vk.com/public205847620,https://i8.photo.2gis.com/images/branch/0/30258560097174752_5831_300x300.jpg,8163303606158343,58.596697,49.658615
Русский бургер,Кафе быстрого питания,Русская кухня ,Средний чек 120 ₽,"Пионерский переулок, 6/3","[' 09:00-21:00', '  09:00-21:00', '  09:00-21:00', '  09:00-21:00', '  09:00-21:00', '  09:00-21:00', '  09:00-21:00']",,https://vk.com/public205847620,https://i9.photo.2gis.com/images/branch/0/30258560080483230_1720_300x300.jpg,70000001052109540,58.60734,49.686398
